nomeBiblioteca	AssignmentExpression	ArrayExpression	BlockStatement	BinaryExpression	BreakStatement	CallExpression	CatchClause	ConditionalExpression	ContinueStatement	DoWhileStatement	DebuggerStatement	EmptyStatement	ExpressionStatement	ForStatement	ForInStatement	FunctionDeclaration	FunctionExpression	Identifier	IfStatement	Literal	LabeledStatement	LogicalExpression	MemberExpression	NewExpression	ObjectExpression	Property	ReturnStatement	SequenceExpression	SwitchStatement	SwitchCase	ThisExpression	ThrowStatement	TryStatement	UnaryExpression	UpdateExpression	VariableDeclaration	VariableDeclarator	WhileStatement	WithStatement	ArrayPattern	ObjectPattern	ArrowFunctionExpression	ClassExpression	TaggedTemplateExpression	Super	YieldExpression	AssignmentPattern	RestElement	MethodDefinition	TemplateElement	TemplateLiteral	SpreadElement	ForOfStatement
hudson-taylor	82	24	489	41	0	1029	1	0	1	0	0	0	770	1	5	11	371	3830	74	568	0	26	861	141	225	219	143	0	1	3	79	6	1	38	10	267	269	0	0	0	4	36	0	0	0	0	7	0	0	0	0	0	0
ios-splash	6	1	72	28	0	139	0	0	0	0	0	0	97	0	0	4	42	631	28	176	0	25	158	0	15	18	32	0	0	0	0	0	0	8	0	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ios-sticker-pack	1	3	29	2	0	80	0	0	0	0	0	0	38	0	0	2	2	307	22	25	0	3	63	0	5	9	13	0	0	0	0	7	0	1	0	17	17	0	0	0	0	23	0	0	0	0	0	0	0	65	29	0	0
josepoo	2	3	21	0	0	40	0	0	0	0	0	0	31	0	0	2	16	162	2	34	0	0	51	2	9	16	4	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-cypher	25	5	46	11	0	47	0	5	0	0	0	0	50	0	0	5	22	392	13	52	0	20	105	7	22	35	8	0	0	0	18	0	0	1	0	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
react-native-signalr	2196	232	3195	1954	33	3302	46	392	14	2	0	0	3111	136	66	61	973	25427	1572	4173	0	1314	8436	52	356	1047	1015	20	1	4	1167	10	48	818	207	645	1598	51	0	0	0	5	0	0	0	0	0	0	0	2	1	0	0
s3-folder-upload	4	0	24	3	0	47	1	2	0	0	0	0	32	0	0	1	11	210	5	19	0	5	52	1	1	7	7	0	0	0	0	0	1	1	1	10	10	0	0	0	0	5	0	0	0	0	0	0	0	23	11	0	0
smtpapi	58	14	63	15	0	114	0	3	0	0	0	0	141	0	1	0	48	523	9	92	0	17	300	1	17	9	4	0	0	0	54	0	0	3	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
textfit	72	6	72	90	0	86	0	2	0	0	0	0	93	2	2	14	7	590	44	219	0	32	190	2	5	19	15	0	0	0	0	2	0	41	2	27	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unicode-byte-truncate	1	0	13	3	0	42	0	0	0	0	0	0	30	0	0	0	12	96	2	38	0	1	22	2	0	0	1	0	0	0	0	2	0	3	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
window-size	6	0	9	2	0	21	0	0	0	0	0	0	11	0	0	1	2	90	5	19	0	1	39	0	3	6	3	0	0	0	0	0	0	6	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@shorei18n-hbs-helper	0	0	2	1	0	4	0	0	0	0	0	0	1	0	0	2	0	21	0	5	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
angular-jq-querybuilder	2272	390	3627	1768	106	4624	36	326	11	11	0	0	3848	91	29	444	1288	29288	1607	5127	4	876	7807	84	575	1709	1249	19	23	114	1224	90	39	690	169	1412	1857	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dont-sniff-mimetype	0	0	6	0	0	15	0	0	0	0	0	0	10	0	0	0	6	35	0	10	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
