trial;counter;index;instructionType;totalChars 
4;136;357;Identifier;17094 
4;137;353;Identifier;17092 
4;140;370;Identifier;17090 
4;143;399;Identifier;17088 
4;144;398;Identifier;17085 
4;154;480;Identifier;17083 
4;157;501;Identifier;17081 
4;164;561;Identifier;17079 
4;165;566;Identifier;17077 
4;179;699;Identifier;17075 
4;180;697;Identifier;17073 
4;181;698;Identifier;17072 
4;182;696;Identifier;17071 
4;190;760;Identifier;17069 
4;192;774;Identifier;17067 
4;194;788;Identifier;17065 
4;206;897;Identifier;17063 
4;208;906;Identifier;17061 
4;209;901;Identifier;17059 
4;210;909;Identifier;17057 
4;214;930;Identifier;17055 
4;222;1004;Identifier;17053 
4;223;1007;Identifier;17051 
4;225;1012;Identifier;17049 
4;226;1016;Identifier;17047 
4;230;1048;Identifier;17045 
4;232;1059;Identifier;17043 
4;236;1086;Identifier;17041 
4;238;1095;Identifier;17039 
4;239;1091;Identifier;17037 
4;252;1216;Identifier;17035 
4;254;1224;Identifier;17033 
4;255;1221;Identifier;17031 
4;258;1248;Identifier;17029 
4;260;1251;Identifier;17027 
4;268;1329;Identifier;17026 
4;279;1429;Identifier;17024 
4;280;1422;Identifier;17022 
4;283;1446;Identifier;17020 
4;290;1502;Identifier;17018 
4;293;1520;Identifier;17016 
4;308;1665;Identifier;17014 
4;312;1695;Identifier;17012 
4;324;1803;Identifier;17010 
4;326;1810;Identifier;17008 
4;332;1860;Identifier;17006 
4;333;1863;Identifier;17004 
5;0;0;original;18323 
5;1;0;ExpressionStatement;18293 
5;2;0;VariableDeclaration;18289 
5;3;4;IfStatement;18254 
5;4;9;IfStatement;18202 
5;5;8;IfStatement;18107 
5;6;3;IfStatement;18073 
5;7;3;IfStatement;18047 
5;8;2;IfStatement;18015 
5;10;15;IfStatement;17965 
5;11;14;IfStatement;17915 
5;12;16;IfStatement;17857 
5;14;26;IfStatement;17825 
5;16;36;IfStatement;17807 
5;43;179;BinaryExpression;17773 
5;47;209;BinaryExpression;17747 
5;52;240;BinaryExpression;17719 
5;83;16;Identifier;17709 
5;85;21;Identifier;17709 
5;86;21;Identifier;17701 
5;117;321;Identifier;17699 
5;121;355;Identifier;17697 
5;122;351;Identifier;17695 
5;124;368;Identifier;17693 
5;125;362;Identifier;17691 
5;128;389;Identifier;17689 
5;129;389;Identifier;17687 
5;138;468;Identifier;17685 
5;144;517;Identifier;17683 
5;145;518;Identifier;17681 
5;146;517;Identifier;17679 
5;151;553;Identifier;17677 
5;152;558;Identifier;17675 
5;167;693;Identifier;17673 
5;168;692;Identifier;17672 
5;169;693;Identifier;17670 
5;170;693;Identifier;17669 
5;177;756;Identifier;17667 
5;178;752;Identifier;17665 
5;180;769;Identifier;17663 
5;181;760;Identifier;17661 
5;184;782;Identifier;17659 
5;196;899;Identifier;17657 
5;197;894;Identifier;17655 
5;199;902;Identifier;17653 
5;200;906;Identifier;17651 
5;203;927;Identifier;17649 
5;204;928;Identifier;17647 
5;205;928;Identifier;17645 
5;211;977;Identifier;17643 
5;215;1008;Identifier;17641 
5;216;1004;Identifier;17639 
5;218;1012;Identifier;17637 
5;219;1016;Identifier;17635 
5;223;1048;Identifier;17633 
5;225;1059;Identifier;17631 
5;229;1086;Identifier;17629 
5;231;1095;Identifier;17627 
5;232;1091;Identifier;17625 
5;238;1141;Identifier;17623 
5;239;1141;Identifier;17621 
5;241;1153;Identifier;17619 
5;243;1160;Identifier;17617 
5;248;1201;Identifier;17614 
5;252;1233;Identifier;17612 
5;254;1241;Identifier;17610 
5;256;1256;Identifier;17608 
5;258;1261;Identifier;17606 
5;259;1266;Identifier;17604 
5;260;1269;Identifier;17602 
5;262;1276;Identifier;17600 
5;263;1270;Identifier;17598 
5;264;1273;Identifier;17596 
5;269;1316;Identifier;17594 
5;270;1315;Identifier;17592 
5;271;1313;Identifier;17590 
5;272;1311;Identifier;17588 
5;273;1312;Identifier;17586 
5;274;1311;Identifier;17584 
5;276;1329;Identifier;17582 
5;279;1347;Identifier;17580 
5;281;1355;Identifier;17579 
5;283;1363;Identifier;17577 
5;284;1363;Identifier;17575 
5;286;1379;Identifier;17573 
5;287;1379;Identifier;17571 
5;288;1379;Identifier;17569 
5;289;1379;Identifier;17567 
5;290;1379;Identifier;17565 
5;291;1378;Identifier;17563 
5;295;1401;Identifier;17561 
5;301;1450;Identifier;17559 
5;302;1456;Identifier;17557 
